redshift,M_U,M_B,M_V,M_R,M_I,M_J,M_K,EBV,isoarea
1.567,-18.52,-19.55,-20.11,-20.35,-20.55,-20.76,-20.47,0.0286497,3.784189633918261
2.342,-19.32,-20.06,-20.45,-20.63,-20.78,-21.12,-21.0,0.258362,4.770684624465665
1.692,-17.11,-17.22,-17.43,-17.32,-16.6,-16.46,-16.05,0.0434902,3.871201010907891
2.083,-18.95,-19.73,-20.15,-20.35,-20.54,-21.11,-21.16,0.365292,4.727387818712341
2.034,-18.36,-18.96,-19.2,-19.25,-19.29,-19.37,-19.07,0.142415,4.219507705176107
2.321,-17.83,-18.45,-18.53,-18.54,-18.48,-18.22,-17.7,0.108022,3.2188758248682006
1.869,-20.24,-20.89,-21.21,-21.37,-21.52,-22.07,-22.11,0.260062,6.470799503782602
2.264,-19.36,-19.57,-19.85,-19.71,-19.3,-19.21,-18.8,0.0886628,4.927253685157205
1.515,-19.47,-20.07,-20.11,-20.11,-20.03,-19.74,-19.21,0.018157,5.69035945432406
2.199,-20.23,-20.7,-20.83,-20.79,-20.72,-20.71,-20.35,0.184173,4.406719247264253
2.051,-18.55,-19.3,-19.57,-19.68,-19.77,-20.05,-19.89,0.27498,4.406719247264253
1.601,-17.13,-17.48,-17.91,-17.88,-17.5,-17.53,-17.24,0.225819,3.6888794541139363
1.941,-18.76,-19.42,-19.81,-20.01,-20.23,-20.88,-20.94,0.386119,4.663439094112067
1.88,-19.8,-20.4,-20.58,-20.64,-20.67,-20.87,-20.67,0.143965,5.765191102784844
1.792,-18.92,-19.52,-19.63,-19.66,-19.59,-19.37,-18.86,0.0998593,5.111987788356544
2.431,-21.16,-21.84,-22.15,-22.29,-22.4,-22.7,-22.57,0.226469,6.295266001439646
2.126,-17.46,-17.53,-17.77,-17.78,-17.41,-17.6,-17.44,0.190418,3.258096538021482
1.549,-19.05,-19.44,-19.86,-20.08,-20.12,-20.73,-20.83,0.372356,4.672828834461906
1.986,-18.42,-19.49,-20.22,-20.67,-21.09,-22.03,-22.39,0.651916,5.220355825078324
1.967,-19.87,-20.38,-20.6,-20.67,-20.7,-20.93,-20.75,0.172744,5.438079308923196
2.404,-19.83,-21.02,-21.72,-22.06,-22.38,-22.83,-22.75,0.323117,5.236441962829949
2.047,-17.56,-17.8,-18.12,-17.99,-17.57,-17.47,-17.02,0.343692,3.367295829986474
1.944,-20.16,-20.64,-20.84,-20.93,-21.03,-21.52,-21.53,0.195512,5.1298987149230735
1.537,-17.17,-17.49,-17.71,-17.79,-17.76,-18.1,-18.0,0.167285,3.828641396489095
1.813,-15.89,-16.28,-16.66,-16.82,-16.84,-17.32,-17.23,0.364868,4.2626798770413155
1.537,-16.47,-17.07,-17.31,-17.36,-17.4,-17.47,-17.16,0.164983,3.367295829986474
1.822,-20.22,-21.05,-21.53,-21.78,-22.02,-22.68,-22.83,0.392946,5.641907070938114
2.076,-19.01,-19.21,-19.52,-19.37,-18.87,-18.71,-18.27,0.130058,4.477336814478207
1.814,-19.2,-19.84,-20.24,-20.46,-20.69,-21.4,-21.52,0.519014,5.5909869805108565
1.76,-19.04,-19.53,-19.71,-19.76,-19.76,-19.94,-19.75,0.0689446,4.394449154672439
1.668,-20.26,-20.87,-21.16,-21.28,-21.37,-21.65,-21.51,0.159818,6.285998094508865
1.828,-18.19,-18.51,-18.58,-18.56,-18.47,-18.59,-18.33,0.0788889,4.07753744390572
2.272,-18.89,-19.56,-19.74,-19.82,-19.81,-19.65,-19.15,0.308298,4.61512051684126
1.812,-18.61,-19.01,-19.33,-19.36,-19.24,-19.46,-19.22,0.19695,4.04305126783455
1.979,-18.43,-19.62,-20.37,-20.8,-21.22,-21.96,-22.21,0.591059,5.017279836814924
1.816,-18.77,-19.36,-19.62,-19.74,-19.86,-20.39,-20.43,0.274041,4.983606621708336
2.14,-20.52,-21.27,-21.68,-21.87,-22.03,-22.4,-22.31,0.267121,6.07993319509559
1.626,-20.14,-20.79,-21.27,-21.54,-21.73,-22.4,-22.54,0.422227,6.317164686747284
1.574,-17.74,-18.36,-18.65,-18.79,-18.93,-19.46,-19.5,0.291358,4.330733340286331
1.804,-18.11,-18.38,-18.46,-18.33,-18.13,-18.05,-17.61,0.0300878,3.4011973816621555
1.714,-19.36,-19.71,-19.79,-19.78,-19.71,-19.83,-19.57,0.0773395,5.1298987149230735
2.42,-17.88,-18.49,-18.66,-18.67,-18.68,-18.68,-18.37,0.204039,3.4339872044851463
1.551,-17.48,-18.03,-18.14,-18.16,-18.07,-17.87,-17.38,0.169918,4.127134385045092
1.915,-17.58,-17.98,-18.46,-18.47,-18.12,-18.22,-17.98,0.275991,2.833213344056216
2.175,-17.98,-18.23,-18.58,-18.46,-18.01,-17.91,-17.52,0.17528,2.1972245773362196
1.659,-18.84,-19.38,-19.5,-19.52,-19.51,-19.64,-19.4,0.0919407,4.709530201312334
1.628,-17.2,-17.55,-17.99,-17.96,-17.57,-17.6,-17.31,0.298938,2.995732273553991
1.737,-18.05,-18.35,-18.48,-18.38,-18.21,-18.18,-17.77,0.12471,3.912023005428146
2.2,-18.78,-19.4,-19.77,-19.97,-20.18,-20.87,-20.99,0.284877,4.74493212836325
1.592,-20.62,-21.05,-21.1,-21.08,-20.94,-20.69,-20.21,0.153647,3.5263605246161616
1.869,-18.33,-18.53,-18.84,-18.68,-18.19,-18.03,-17.6,0.0851491,4.23410650459726
1.838,-19.42,-20.64,-21.37,-21.71,-22.03,-22.73,-22.85,0.446182,6.45833828334479
1.928,-17.88,-18.36,-18.55,-18.6,-18.61,-18.82,-18.62,0.232102,3.8501476017100584
1.645,-20.42,-20.91,-20.99,-20.98,-20.86,-20.62,-20.11,0.0910148,6.124683390894205
1.701,-17.45,-18.11,-18.41,-18.5,-18.58,-18.73,-18.46,0.305101,3.9889840465642745
1.78,-19.65,-19.89,-19.95,-19.92,-19.81,-19.92,-19.66,0.0413558,5.288267030694535
1.73,-19.52,-20.15,-20.44,-20.55,-20.64,-20.89,-20.75,0.166035,5.60947179518496
1.722,-18.19,-18.65,-18.82,-18.86,-18.86,-19.03,-18.83,0.109764,4.51085950651685
2.055,-18.22,-18.72,-18.81,-18.81,-18.7,-18.48,-18.0,0.0802216,4.0943445622221
1.695,-18.5,-18.94,-19.09,-19.11,-19.09,-19.24,-19.02,0.125613,4.844187086458591
1.716,-18.9,-19.41,-19.6,-19.66,-19.68,-19.86,-19.68,0.0823303,5.220355825078324
2.477,-18.37,-19.02,-19.12,-19.15,-19.11,-18.88,-18.37,0.159853,3.1780538303479458
2.034,-19.53,-19.92,-20.05,-19.98,-19.86,-19.84,-19.46,0.135539,5.247024072160486
1.508,-15.5,-16.31,-16.8,-17.04,-17.27,-17.88,-17.87,0.419024,3.2188758248682006
1.614,-17.42,-18.13,-18.47,-18.59,-18.7,-18.83,-18.54,0.192927,4.143134726391533
1.73,-17.63,-18.1,-18.27,-18.34,-18.41,-18.88,-18.89,0.232133,4.07753744390572
2.348,-18.55,-18.96,-19.07,-19.01,-18.91,-18.87,-18.49,0.100052,4.143134726391533
1.778,-18.65,-19.09,-19.22,-19.25,-19.23,-19.41,-19.18,0.226046,3.8918202981106265
2.254,-20.12,-20.57,-20.73,-20.78,-20.85,-21.32,-21.31,0.140455,5.3612921657094255
1.909,-18.35,-18.32,-18.35,-18.25,-17.96,-18.05,-17.78,0.0257572,4.290459441148391
2.465,-19.18,-19.61,-19.66,-19.64,-19.48,-19.22,-18.72,0.135476,4.574710978503383
1.88,-18.78,-19.3,-19.52,-19.62,-19.72,-20.24,-20.27,0.255075,4.890349128221754
2.133,-18.44,-18.49,-18.54,-18.48,-18.27,-18.39,-18.12,0.0419277,3.7612001156935624
1.559,-18.34,-18.96,-19.25,-19.38,-19.53,-20.06,-20.1,0.240553,4.859812404361672
2.489,-18.3,-18.5,-18.78,-18.61,-18.17,-18.02,-17.53,0.220726,4.219507705176107
1.725,-19.69,-20.13,-20.31,-20.36,-20.35,-20.58,-20.42,0.0894287,5.605802066295998
1.832,-19.41,-20.05,-20.21,-20.26,-20.28,-20.43,-20.22,0.0572837,5.680172609017068
2.111,-19.04,-19.66,-19.82,-19.83,-19.83,-19.81,-19.49,0.0970261,4.48863636973214
2.034,-20.11,-20.82,-21.24,-21.47,-21.7,-22.37,-22.43,0.408418,5.68697535633982
1.783,-17.93,-18.45,-18.66,-18.73,-18.77,-18.97,-18.79,0.135063,4.564348191467836
