ID,RAdeg,DECdeg,Hmag,PhotFlag,Class_star,AGNflag,zphot,zspec,q_zspec,r_zspec,zbest,zphot_l68,zphot_u68,zphot_l95,zphot_u95,zAGN,M_neb_med,s_neb_med,M_med,s_med,M_14a_cons,M_11a_tau,M_6a_tau^NEB,M_13a_tau,M_12a_tau,M_6a_tau,M_2a_tau,M_15a,M_10c,M_14a_lin,M_14a_deltau,M_14a_tau,M_14a_inctau,M_14a,M_neb_med_lin,s_neb_med_lin,M_med_lin,s_med_lin
1,215.3011004,53.0512055,23.3089,2,0.35,0,1.7,-99.0,-99,-99,1.7,1.5,2.44,1.28,3.32,-99.0,10.1377,0.235145,10.0146,0.106067,10.3023,9.8385,10.1377,10.16,9.9478,10.0813,9.894,9.99454,10.18,10.2963,10.0967,10.0875,10.2755,10.0967,10.1296,0.21218,10.0197,0.10754
7,215.3010327,53.0513898,23.6162,2,0.37,0,1.611,-99.0,-99,-99,1.611,1.26,1.46,0.59,1.6,-99.0,9.7653,0.126336,9.68191,0.070578,9.7653,9.55053,9.7732,9.71,9.6374,9.77364,9.7,9.59018,10.15,9.69075,9.624,9.65731,9.74326,9.624,9.67598,0.12308,9.69153,0.06937
14,215.2999904,53.0513432,25.0789,2,0.36,0,0.569,-99.0,-99,-99,0.569,0.55,2.2,0.26,2.84,-99.0,8.0029,0.692099,8.5075,0.448474,7.9872,8.71047,7.32675,8.76,8.5785,7.63629,8.255,8.60959,8.28,7.89575,8.04554,8.1218,7.9232,7.98734,7.98724,0.43052,8.4462,0.2625
16,215.2994926,53.0513041,24.456,2,0.36,0,1.673,-99.0,-99,-99,1.673,1.28,2.67,0.87,3.0,-99.0,9.597,0.17686,9.43406,0.089857,9.4405,9.75363,9.73949,9.41,9.4533,9.61416,9.397,9.41482,9.37,9.3946,9.41102,9.42097,9.4042,9.4406,9.74307,0.16821,9.43449,0.10876
18,215.2937411,53.0473881,24.0394,2,0.0,0,1.987,-99.0,-99,-99,1.987,1.96,2.81,1.63,2.95,-99.0,9.7695,0.275436,9.40072,0.383781,9.7695,9.40269,9.94201,9.43,9.3147,9.34694,10.235,9.45449,10.09,9.74647,9.73609,9.78547,9.7668,9.76967,9.76954,0.23987,9.45449,0.38378
19,215.240622,53.0098983,23.0267,2,0.02,0,1.762,-99.0,-99,-99,1.762,1.68,1.9,1.57,2.01,-99.0,10.4289,0.070138,10.4175,0.233476,10.3607,10.497,10.4576,10.49,10.3184,10.4496,10.898,10.345,10.21,10.2926,10.4252,10.3553,10.3477,10.3553,10.4342,0.06901,10.4235,0.35759
20,215.3030923,53.0542609,25.897,2,0.04,0,1.707,-99.0,-99,-99,1.707,1.57,1.75,1.03,1.78,-99.0,8.1521,0.390209,8.4506,0.389371,8.4282,8.5083,7.79595,8.6,8.4506,8.57726,7.692,8.58198,8.51,8.32314,8.31741,8.4259,8.39906,8.32314,8.28425,0.30932,8.52124,0.19249
21,215.298784,53.0513352,25.5622,2,0.37,0,1.869,-99.0,-99,-99,1.869,0.95,2.56,0.26,3.06,-99.0,8.5923,0.523932,8.75027,0.27851,8.5923,8.69483,7.74044,8.76,8.6985,8.74702,9.325,8.63961,8.81,8.4791,8.49417,8.59206,8.53712,8.4791,8.5226,0.36318,8.7503,0.54837
23,215.2636177,53.0267643,25.5507,2,0.0,0,1.856,-99.0,-99,-99,1.856,1.03,2.58,0.3,3.03,-99.0,8.8712,0.029793,8.94217,0.10281,8.8451,8.84647,8.89735,9.01,8.7377,8.92634,8.958,8.90116,8.8,8.75358,8.78658,8.84196,8.78802,8.84196,8.87199,0.02978,8.94246,0.09774
31,215.2589268,53.0241244,26.2623,2,0.0,0,2.817,-99.0,-99,-99,2.817,1.98,3.89,1.26,4.51,-99.0,9.8476,0.20118,9.87836,0.35511,9.6029,9.98624,9.90059,10.0,9.823,9.97354,9.153,9.93373,9.76,9.49006,9.53406,9.61762,9.54483,9.60307,9.83557,0.1846,9.89347,0.18795
